[2022-06-03T21:42:44.526] [INFO] custom - Path: /, Method: GET
[2022-06-03T21:42:44.685] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-03T21:42:44.685] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-03T21:42:46.083] [INFO] custom - Path: /login, Method: GET
[2022-06-03T21:42:46.204] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-03T21:42:46.204] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-03T21:42:48.543] [INFO] custom - Path: /login, Method: POST
[2022-06-03T21:42:48.873] [INFO] custom - Path: /home, Method: GET
[2022-06-03T21:42:48.966] [INFO] custom - Path: /alt=%22%22, Method: GET
[2022-06-03T21:42:48.966] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-03T21:42:49.023] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-03T21:42:49.023] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:19:30.374] [INFO] custom - Path: /home, Method: GET
[2022-06-04T00:19:30.695] [INFO] custom - Path: /, Method: GET
[2022-06-04T00:19:30.927] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:19:30.927] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:19:31.913] [INFO] custom - Path: /login, Method: GET
[2022-06-04T00:19:32.034] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:19:32.035] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:19:35.362] [INFO] custom - Path: /login, Method: POST
[2022-06-04T00:19:35.422] [INFO] custom - Path: /home, Method: GET
[2022-06-04T00:19:35.525] [INFO] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:19:35.526] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:19:35.583] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:19:35.584] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:21:07.774] [INFO] custom - Path: /home, Method: GET
[2022-06-04T00:21:07.916] [INFO] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:21:07.916] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:21:07.981] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:21:07.981] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:21:22.787] [INFO] custom - Path: /home, Method: GET
[2022-06-04T00:21:22.930] [INFO] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:21:22.933] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:21:23.031] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:21:23.033] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:22:27.259] [INFO] custom - Path: /home, Method: GET
[2022-06-04T00:22:27.487] [INFO] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:22:27.487] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:22:27.753] [INFO] custom - Path: /mensajes, Method: GET
[2022-06-04T00:22:27.762] [INFO] custom - Path: /productos, Method: GET
[2022-06-04T00:22:28.014] [INFO] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:22:28.015] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:23:39.719] [INFO] custom - Path: /home, Method: GET
