[2022-06-03T21:42:44.685] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-03T21:42:46.204] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-03T21:42:48.966] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-03T21:42:49.023] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:19:30.927] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:19:32.035] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:19:35.526] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:19:35.584] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:21:07.916] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:21:07.981] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:21:22.933] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:21:23.033] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:22:27.487] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:22:28.015] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:23:39.895] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:23:40.854] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:23:57.417] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:23:57.981] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:25:21.786] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:25:22.335] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:26:45.011] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:26:45.556] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:26:46.718] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:26:46.786] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:39:09.814] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:39:10.714] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:39:14.009] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:39:14.530] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:41:44.289] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:41:45.264] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:44:05.180] [WARN] custom - Path: /alt=%22%22, Method: GET
[2022-06-04T00:44:05.289] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:53:17.575] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:53:19.037] [WARN] custom - Path: /favicon.ico, Method: GET
[2022-06-04T00:53:22.229] [WARN] custom - Path: /alt=%22%22, Method: GET
